Model,Dataset,Metric,Value
Data,ladders,betweenness,42.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,10.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,4.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,4.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,2.4
BA,ladders,betweenness,0.0
Data,ladders,betweenness,6.8
BA,ladders,betweenness,9.4
Data,ladders,betweenness,9.2
BA,ladders,betweenness,9.7
Data,ladders,betweenness,9.2
BA,ladders,betweenness,5.3
Data,ladders,betweenness,7.2
BA,ladders,betweenness,3.7
Data,ladders,betweenness,4.8
BA,ladders,betweenness,1.4
Data,ladders,betweenness,8.4
BA,ladders,betweenness,3.1
Data,ladders,betweenness,9.2
BA,ladders,betweenness,5.1
Data,ladders,betweenness,7.6
BA,ladders,betweenness,4.8
Data,ladders,betweenness,8.0
BA,ladders,betweenness,5.0
Data,ladders,betweenness,9.2
BA,ladders,betweenness,1.6
Data,ladders,betweenness,8.8
BA,ladders,betweenness,2.8
Data,ladders,betweenness,12.4
BA,ladders,betweenness,3.1
Data,ladders,betweenness,12.8
BA,ladders,betweenness,3.3
Data,ladders,betweenness,9.6
BA,ladders,betweenness,1.9
Data,ladders,betweenness,12.0
BA,ladders,betweenness,1.9
Data,ladders,betweenness,12.4
BA,ladders,betweenness,1.1
Data,ladders,betweenness,11.6
BA,ladders,betweenness,2.7
Data,ladders,betweenness,15.6
BA,ladders,betweenness,1.8
Data,ladders,betweenness,15.6
BA,ladders,betweenness,1.6
Data,ladders,betweenness,22.0
BA,ladders,betweenness,2.5
Data,ladders,betweenness,28.4
BA,ladders,betweenness,1.1
Data,ladders,betweenness,27.2
BA,ladders,betweenness,1.1
Data,ladders,betweenness,24.8
BA,ladders,betweenness,1.6
Data,ladders,betweenness,12.2
BA,ladders,betweenness,1.5
Data,ladders,betweenness,5.6
BA,ladders,betweenness,1.7
Data,ladders,betweenness,2.2
BA,ladders,betweenness,1.8
Data,ladders,betweenness,0.6
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.2
BA,ladders,betweenness,1.1
Data,ladders,betweenness,0.8
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.4
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.6
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.2
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.1
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.1
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.0
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.1
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.0
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.0
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.1
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.1
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,clustering,0.0
BA,ladders,clustering,0.0
Data,ladders,degree,72.0
BA,ladders,degree,59.5
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,91.8
BA,ladders,degree,8.0
Data,ladders,degree,30.6
BA,ladders,degree,3.1
Data,ladders,degree,91.8
BA,ladders,degree,7.4
Data,ladders,degree,30.6
BA,ladders,degree,2.2
Data,ladders,degree,30.6
BA,ladders,degree,2.5
Data,ladders,degree,30.6
BA,ladders,degree,3.1
Data,ladders,degree,0.0
BA,ladders,degree,2.0
Data,ladders,degree,0.0
BA,ladders,degree,2.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,2.8
Data,ladders,degree,0.0
BA,ladders,degree,4.6
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,4.1
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,2.9
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,1.0
Data,ladders,degree,0.0
BA,ladders,degree,0.8
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,2.9
Data,ladders,degree,0.0
BA,ladders,degree,1.4
Data,ladders,degree,0.0
BA,ladders,degree,0.7
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,1.9
Data,ladders,degree,0.0
BA,ladders,degree,0.6
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,2.7
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.9
Data,ladders,degree,0.0
BA,ladders,degree,0.4
Data,ladders,degree,0.0
BA,ladders,degree,0.8
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.7
Data,ladders,degree,0.0
BA,ladders,degree,1.3
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.5
Data,ladders,degree,0.0
BA,ladders,degree,0.5
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.4
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,1.7
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.1
Data,ladders,degree,0.0
BA,ladders,degree,0.7
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.5
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.5
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,1.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.1
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.6
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.1
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.2
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,0.0
Data,ladders,degree,0.0
BA,ladders,degree,1.0
Data,ladders,orbit,133.2
BA,ladders,orbit,147.2
Data,ladders,orbit,10.4
BA,ladders,orbit,4.9
Data,ladders,orbit,14.1
BA,ladders,orbit,10.4
Data,ladders,orbit,14.2
BA,ladders,orbit,13.3
Data,ladders,orbit,12.8
BA,ladders,orbit,9.8
Data,ladders,orbit,10.0
BA,ladders,orbit,9.2
Data,ladders,orbit,12.6
BA,ladders,orbit,8.6
Data,ladders,orbit,9.9
BA,ladders,orbit,9.9
Data,ladders,orbit,6.3
BA,ladders,orbit,5.3
Data,ladders,orbit,7.6
BA,ladders,orbit,5.9
Data,ladders,orbit,6.5
BA,ladders,orbit,4.2
Data,ladders,orbit,5.2
BA,ladders,orbit,4.4
Data,ladders,orbit,3.2
BA,ladders,orbit,2.5
Data,ladders,orbit,2.5
BA,ladders,orbit,2.3
Data,ladders,orbit,2.2
BA,ladders,orbit,2.2
Data,ladders,orbit,2.3
BA,ladders,orbit,2.7
Data,ladders,orbit,1.9
BA,ladders,orbit,3.0
Data,ladders,orbit,1.6
BA,ladders,orbit,1.7
Data,ladders,orbit,2.6
BA,ladders,orbit,1.8
Data,ladders,orbit,1.3
BA,ladders,orbit,2.3
Data,ladders,orbit,1.6
BA,ladders,orbit,1.8
Data,ladders,orbit,0.9
BA,ladders,orbit,1.7
Data,ladders,orbit,1.7
BA,ladders,orbit,1.2
Data,ladders,orbit,1.4
BA,ladders,orbit,1.2
Data,ladders,orbit,0.8
BA,ladders,orbit,0.6
Data,ladders,orbit,0.8
BA,ladders,orbit,0.9
Data,ladders,orbit,1.0
BA,ladders,orbit,0.7
Data,ladders,orbit,0.6
BA,ladders,orbit,0.7
Data,ladders,orbit,0.8
BA,ladders,orbit,0.5
Data,ladders,orbit,0.0
BA,ladders,orbit,0.6
Data,ladders,orbit,0.0
BA,ladders,orbit,0.3
Data,ladders,orbit,0.0
BA,ladders,orbit,0.4
Data,ladders,orbit,0.0
BA,ladders,orbit,0.7
Data,ladders,orbit,0.0
BA,ladders,orbit,1.3
Data,ladders,orbit,0.0
BA,ladders,orbit,0.2
Data,ladders,orbit,0.0
BA,ladders,orbit,0.3
Data,ladders,orbit,0.0
BA,ladders,orbit,0.6
Data,ladders,orbit,0.0
BA,ladders,orbit,0.2
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.4
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.4
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.2
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.3
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.3
Data,ladders,orbit,0.0
BA,ladders,orbit,0.2
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.3
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.1
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,0.0
Data,ladders,orbit,0.0
BA,ladders,orbit,1.0
Data,ladders,nspdk,1177650.0
BA,ladders,nspdk,1173267.8
Data,ladders,nspdk,0.0
BA,ladders,nspdk,245.4
Data,ladders,nspdk,3.8
BA,ladders,nspdk,422.9
Data,ladders,nspdk,18.6
BA,ladders,nspdk,347.5
Data,ladders,nspdk,35.2
BA,ladders,nspdk,320.9
Data,ladders,nspdk,51.2
BA,ladders,nspdk,353.8
Data,ladders,nspdk,62.8
BA,ladders,nspdk,402.9
Data,ladders,nspdk,70.2
BA,ladders,nspdk,356.9
Data,ladders,nspdk,68.4
BA,ladders,nspdk,361.8
Data,ladders,nspdk,74.8
BA,ladders,nspdk,358.3
Data,ladders,nspdk,73.0
BA,ladders,nspdk,253.4
Data,ladders,nspdk,64.6
BA,ladders,nspdk,252.7
Data,ladders,nspdk,71.8
BA,ladders,nspdk,208.6
Data,ladders,nspdk,64.4
BA,ladders,nspdk,166.3
Data,ladders,nspdk,61.2
BA,ladders,nspdk,173.1
Data,ladders,nspdk,56.2
BA,ladders,nspdk,164.5
Data,ladders,nspdk,44.6
BA,ladders,nspdk,135.9
Data,ladders,nspdk,49.0
BA,ladders,nspdk,117.1
Data,ladders,nspdk,38.4
BA,ladders,nspdk,137.0
Data,ladders,nspdk,39.0
BA,ladders,nspdk,117.0
Data,ladders,nspdk,36.6
BA,ladders,nspdk,99.4
Data,ladders,nspdk,43.0
BA,ladders,nspdk,83.1
Data,ladders,nspdk,18.2
BA,ladders,nspdk,77.7
Data,ladders,nspdk,35.4
BA,ladders,nspdk,71.5
Data,ladders,nspdk,30.0
BA,ladders,nspdk,66.4
Data,ladders,nspdk,23.2
BA,ladders,nspdk,68.5
Data,ladders,nspdk,33.0
BA,ladders,nspdk,49.7
Data,ladders,nspdk,23.8
BA,ladders,nspdk,59.1
Data,ladders,nspdk,42.0
BA,ladders,nspdk,67.7
Data,ladders,nspdk,13.8
BA,ladders,nspdk,41.3
Data,ladders,nspdk,25.4
BA,ladders,nspdk,48.4
Data,ladders,nspdk,16.0
BA,ladders,nspdk,44.2
Data,ladders,nspdk,12.6
BA,ladders,nspdk,30.2
Data,ladders,nspdk,30.8
BA,ladders,nspdk,31.8
Data,ladders,nspdk,27.4
BA,ladders,nspdk,36.9
Data,ladders,nspdk,23.2
BA,ladders,nspdk,34.8
Data,ladders,nspdk,18.4
BA,ladders,nspdk,39.0
Data,ladders,nspdk,14.4
BA,ladders,nspdk,29.0
Data,ladders,nspdk,15.6
BA,ladders,nspdk,37.2
Data,ladders,nspdk,8.4
BA,ladders,nspdk,22.3
Data,ladders,nspdk,14.2
BA,ladders,nspdk,25.5
Data,ladders,nspdk,12.4
BA,ladders,nspdk,22.9
Data,ladders,nspdk,13.2
BA,ladders,nspdk,24.3
Data,ladders,nspdk,32.4
BA,ladders,nspdk,20.2
Data,ladders,nspdk,4.0
BA,ladders,nspdk,20.2
Data,ladders,nspdk,15.0
BA,ladders,nspdk,21.8
Data,ladders,nspdk,5.4
BA,ladders,nspdk,19.6
Data,ladders,nspdk,10.2
BA,ladders,nspdk,16.6
Data,ladders,nspdk,7.8
BA,ladders,nspdk,15.3
Data,ladders,nspdk,4.2
BA,ladders,nspdk,14.5
Data,ladders,nspdk,22.8
BA,ladders,nspdk,19.5
Data,ladders,nspdk,11.0
BA,ladders,nspdk,10.5
Data,ladders,nspdk,6.0
BA,ladders,nspdk,13.0
Data,ladders,nspdk,25.2
BA,ladders,nspdk,11.8
Data,ladders,nspdk,17.8
BA,ladders,nspdk,12.0
Data,ladders,nspdk,9.4
BA,ladders,nspdk,9.0
Data,ladders,nspdk,14.0
BA,ladders,nspdk,15.6
Data,ladders,nspdk,16.4
BA,ladders,nspdk,10.8
Data,ladders,nspdk,21.2
BA,ladders,nspdk,10.1
Data,ladders,nspdk,12.2
BA,ladders,nspdk,9.1
Data,ladders,nspdk,15.6
BA,ladders,nspdk,9.7
Data,ladders,nspdk,16.4
